,links
136,https://www.straitstimes.com/singapore/courts-crime/2-men-arrested-over-10k-worth-of-illegal-transactions-from-stolen-credit-card
137,https://www.straitstimes.com/singapore/courts-crime/14-year-old-boy-arrested-for-suspected-housebreaking-and-theft
138,https://www.straitstimes.com/singapore/courts-crime/two-men-arrested-for-drug-offences-after-brief-car-chase-in-queenstown
139,https://www.straitstimes.com/singapore/courts-crime/2-men-charged-over-allegedly-promoting-multi-level-marketing-scheme-involving
140,https://www.straitstimes.com/singapore/courts-crime/four-men-charged-with-taking-bribes-in-exchange-for-under-reporting-weight-of
141,https://www.straitstimes.com/singapore/courts-crime/man-jailed-3-months-for-attempting-to-pay-for-sex-with-minor
142,https://www.straitstimes.com/singapore/courts-crime/aesthetics-doctor-georgia-lee-sued-by-minority-shareholder-in-skincare
143,https://www.straitstimes.com/singapore/courts-crime/man-called-ransom-jailed-for-holding-grindr-dates-to-ransom
144,https://www.straitstimes.com/singapore/courts-crime/youth-bashed-woman-when-robbing-her-causing-multiple-facial-fractures
145,https://www.straitstimes.com/singapore/courts-crime/jail-for-man-on-unregistered-e-bike-who-tried-to-evade-lta-officers-by-riding
146,https://www.straitstimes.com/singapore/courts-crime/rosewood-case-court-of-appeal-clears-businessman-and-firm-of-importing-logs
147,https://www.straitstimes.com/singapore/courts-crime/scolded-maid-jailed-for-scratching-the-faces-of-two-babies-drawing-blood-to
148,https://www.straitstimes.com/singapore/courts-crime/young-woman-convicted-of-involvement-in-fake-money-scam-jumped-bail-and
149,https://www.straitstimes.com/singapore/courts-crime/brawl-with-20-people-breaks-out-in-geylang-police-investigating
150,https://www.straitstimes.com/singapore/courts-crime/nigerian-and-malaysian-arrested-over-11-internet-love-scams-involving-237000
151,https://www.straitstimes.com/singapore/courts-crime/co-conspirator-in-revenge-porn-extortion-plot-jailed-4-weeks
152,https://www.straitstimes.com/singapore/courts-crime/man-gets-3-years-12-strokes-for-robbing-woman-with-disability
153,https://www.straitstimes.com/singapore/courts-crime/man-cheats-friend-of-30900-in-maintenance-for-imaginary-child-fathered-with
154,https://www.straitstimes.com/singapore/courts-crime/police-investigate-73-suspects-who-allegedly-scammed-victims-of-107000
155,https://www.straitstimes.com/singapore/courts-crime/elderly-man-arrested-for-possessing-air-guns-after-shooting-metal-pellets-at
156,https://www.straitstimes.com/singapore/courts-crime/two-men-arrested-after-woman-assaulted-robbed-by-man-armed-with-razor-blade
157,https://www.straitstimes.com/singapore/courts-crime/man-jailed-for-threatening-to-spread-ex-girlfriends-sexually-explicit-video
158,https://www.straitstimes.com/singapore/courts-crime/three-men-slashed-cook-after-they-were-denied-free-prata
159,https://www.straitstimes.com/singapore/courts-crime/man-fined-72000-for-conducting-estate-agency-work-without-cea-registration
160,https://www.straitstimes.com/singapore/courts-crime/man-accused-of-trying-to-bribe-cop-after-he-was-caught-for-suspected-drink
161,https://www.straitstimes.com/singapore/courts-crime/man-who-allegedly-posed-as-hdb-approved-contractor-charged-with-cheating-five
162,https://www.straitstimes.com/singapore/courts-crime/six-year-old-girl-dies-after-near-drowning-in-pool-with-lifeguards-swimming
163,https://www.straitstimes.com/singapore/courts-crime/ex-dsta-it-engineer-jailed-for-recording-taking-upskirt-videos-of-more-than
164,https://www.straitstimes.com/singapore/courts-crime/businessman-who-hired-hitmen-to-attack-his-mistress-boyfriend-found-guilty
165,https://www.straitstimes.com/singapore/courts-crime/drink-driver-jailed-18-weeks-over-tanjong-pagar-accident-that-injured-4
166,https://www.straitstimes.com/singapore/courts-crime/primary-school-employee-jailed-for-misappropriating-over-41k-of-pupils-money
167,https://www.straitstimes.com/singapore/courts-crime/ex-uob-banker-jailed-for-cheating-offences-involving-more-than-200000
168,https://www.straitstimes.com/singapore/courts-crime/five-teens-arrested-for-wilful-trespass-after-hiding-in-ikea-tampines-after
169,https://www.straitstimes.com/singapore/courts-crime/fifth-malaysian-man-nabbed-over-54-million-impersonation-scam
170,https://www.straitstimes.com/singapore/courts-crime/15-suspects-assisting-with-investigations-after-over-135000-lost-to-scammers
171,https://www.straitstimes.com/singapore/courts-crime/singaporean-fails-to-declare-213000-in-cash-at-airport-fined-6000
172,https://www.straitstimes.com/singapore/courts-crime/madrasah-teacher-jailed-8-months-for-molesting-8-year-old-pupil
173,https://www.straitstimes.com/singapore/courts-crime/traffic-police-inspector-cleared-by-high-court-of-molesting-three-male
174,https://www.straitstimes.com/singapore/courts-crime/motorist-in-2017-tanjong-pagar-crash-consumed-alcohol-before-car-ploughed
175,https://www.straitstimes.com/singapore/courts-crime/teen-molested-12-year-old-girl-who-agreed-to-be-his-photography-model
176,https://www.straitstimes.com/singapore/courts-crime/driver-involved-in-bukit-timah-crash-which-killed-friend-sentenced-to-2-weeks
177,https://www.straitstimes.com/singapore/courts-crime/35-suspects-arrested-for-various-offences-in-3-day-police-operation-targeting
178,https://www.straitstimes.com/singapore/courts-crime/woman-arrested-after-entering-changi-airports-transit-area-to-claim-gst
179,https://www.straitstimes.com/singapore/courts-crime/man-admits-to-being-part-of-trio-who-attacked-cook-with-knife-after-not
180,https://www.straitstimes.com/singapore/courts-crime/jail-caning-for-man-who-posed-as-loan-shark-to-extort-cash-from-girlfriends
181,https://www.straitstimes.com/singapore/courts-crime/man-jailed-for-taking-videos-of-women-in-tampines-toilet
182,https://www.straitstimes.com/singapore/courts-crime/drug-abuser-who-had-sex-with-three-underage-girls-sentenced-to-reformative
183,https://www.straitstimes.com/singapore/courts-crime/5000-fine-for-man-who-failed-to-declare-cash-of-more-than-60000-when-entering
184,https://www.straitstimes.com/singapore/courts-crime/courier-gets-10-weeks-jail-for-assaulting-pregnant-girlfriend-and-road-rage
185,https://www.straitstimes.com/singapore/courts-crime/jail-for-man-who-threatened-ex-girlfriend-with-knife-after-she-refused-to
186,https://www.straitstimes.com/singapore/courts-crime/gardens-by-the-bay-murder-trial-prosecution-questions-psychiatrists
187,https://www.straitstimes.com/singapore/courts-crime/179000-worth-of-drugs-seized-7-suspects-arrested-cnb
188,https://www.straitstimes.com/singapore/courts-crime/employment-agency-posted-insensitive-online-ads-that-portrayed-maids-as
189,https://www.straitstimes.com/singapore/courts-crime/jail-for-conman-who-posed-as-lawyer-to-cheat-two-women-of-more-than-23000
190,https://www.straitstimes.com/singapore/courts-crime/model-and-dj-tenashar-jailed-18-months-for-drug-offences
191,https://www.straitstimes.com/singapore/courts-crime/parents-with-their-children-in-mind-step-up-to-help-police-nab-culprits-in
192,https://www.straitstimes.com/singapore/courts-crime/maid-who-stole-from-changi-airport-group-chairmans-family-sentenced-to-26
193,https://www.straitstimes.com/singapore/courts-crime/volunteer-at-church-student-care-centre-committed-indecent-acts-on-two-boys
194,https://www.straitstimes.com/singapore/courts-crime/town-council-general-manager-and-company-director-plead-guilty-to-corruption
195,https://www.straitstimes.com/singapore/courts-crime/poly-student-who-took-videos-photos-after-getting-young-girl-to-undress
196,https://www.straitstimes.com/singapore/courts-crime/man-jailed-for-punching-pregnant-girlfriend-and-3-year-old-daughter
197,https://www.straitstimes.com/singapore/courts-crime/three-drugs-to-be-added-to-misuse-of-drugs-act-74000-worth-of-drugs-seized-in
198,https://www.straitstimes.com/singapore/courts-crime/gardens-by-the-bay-murder-trial-court-sees-footage-of-bmw-outside-store-where
199,https://www.straitstimes.com/singapore/courts-crime/wanted-man-fled-singapore-with-help-from-human-trafficking-syndicate-member
200,https://www.straitstimes.com/singapore/courts-crime/jail-cane-for-indian-national-in-rioting-case-which-involved-more-than-50-men
201,https://www.straitstimes.com/singapore/courts-crime/man-allegedly-spent-18000-on-credit-card-left-behind-by-accident-at-axs
202,https://www.straitstimes.com/singapore/courts-crime/singaporean-man-arrested-after-allegedly-staging-his-own-kidnapping-in
203,https://www.straitstimes.com/singapore/courts-crime/accused-said-he-would-have-had-a-proper-plan-if-he-intended-to-commit-murder
